Year    google_scholar_results article_citations_google_scholar
<1998   11 0 
1998    0   0
1999    0   0
2000    0   0
2001    2   0
2002    1   0
2003    0   0
2004    3   0
2005    2   0
2006    0   0
2007    3  0
2008    2  0
2009    0  0
2010    1  0
2011    2  0
2012    3  0
2013    11  1
2014    52  25
2015    38  16
